City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,portland,45.5234,-122.6762,7.33,91,100,3.58,US,1704814690
183,pathein,16.7833,94.7333,20.63,62,0,3.17,MM,1704815038
184,usogorsk,63.4106,48.6872,-31.85,100,69,1.18,RU,1704815038
185,howard springs,-12.497,131.047,27.95,95,100,1.86,AU,1704815038
186,trnava,48.3774,17.5872,-0.63,42,6,1.64,SK,1704815039
187,whitehorse,60.7161,-135.0538,-13.57,83,100,1.54,CA,1704815039
188,singkawang,0.9,109.0,25.21,91,100,0.89,ID,1704815039
189,durban,-29.8579,31.0292,25.51,86,100,1.72,ZA,1704815028
190,sona,45.4388,10.8255,6.75,67,0,2.06,IT,1704815040
191,zheleznodorozhnyy,55.7503,38.0042,-7.58,91,100,4.02,RU,1704815040
192,flying fish cove,-10.4217,105.6791,24.82,100,75,1.03,CX,1704815040
193,san patricio,28.017,-97.5169,12.92,27,0,8.4,US,1704815041
194,kingston,17.997,-76.7936,29.58,66,20,7.2,JM,1704814938
195,jos,9.9167,8.9,28.87,6,5,3.3,NG,1704815041
196,kapa'a,22.0752,-159.319,21.18,78,0,2.06,US,1704815042
197,bugana,7.9992,7.5836,37.03,10,1,2.09,NG,1704815042
198,picota,-6.9197,-76.3304,31.27,57,98,1.02,PE,1704815042
199,vilyuchinsk,52.9306,158.4028,-16.71,73,97,3.89,RU,1704815043
200,williamson,30.6502,-97.6003,8.83,45,0,7.2,US,1704815043
201,chonchi,-42.6128,-73.8092,16.73,58,61,1.72,CL,1704815043
202,comodoro rivadavia,-45.8667,-67.5,16.92,23,40,6.17,AR,1704815043
203,san juan de uraba,8.7592,-76.5297,30.64,66,100,1.06,CO,1704815044
204,thunder bay,48.4001,-89.3168,-6.01,93,100,2.06,CA,1704814823
205,new norfolk,-42.7826,147.0587,14.28,88,100,1.22,AU,1704815044
206,puerto lempira,15.2667,-83.7667,28.08,74,20,3.09,HN,1704815045
207,boende,-0.2167,20.8667,32.63,34,74,0.21,CD,1704815045
208,changqing,36.5575,116.7272,-1.95,79,6,2.19,CN,1704815045
209,colonia,50.9333,6.95,1.25,44,0,1.79,DE,1704814749
210,broome,42.2506,-75.833,1.5,91,100,6.69,US,1704815046
211,punta del este,-34.9667,-54.95,30.06,74,20,4.02,UY,1704815046
212,tyukhtet,56.5389,89.3011,-18.89,90,100,7.68,RU,1704815046
213,felipe carrillo puerto,19.5833,-88.05,29.79,56,35,3.44,MX,1704815047
214,gemena,3.25,19.7667,32.27,22,18,0.9,CD,1704815047
215,malvan,16.0667,73.4667,26.42,75,88,1.74,IN,1704815047
216,ad-damazin,11.7891,34.3592,31.81,24,5,2.75,SD,1704815048
217,la'ie,21.6477,-157.9253,23.67,96,92,7.27,US,1704815048
218,nar'yan-mar,67.6713,53.087,-21.05,100,100,2.24,RU,1704815049
219,chibougamau,49.9168,-74.3659,-19.21,84,75,3.09,CA,1704815049
220,brezina,33.0989,1.2608,15.65,18,98,1.82,DZ,1704815049
221,mejit,10.2753,170.8646,26.88,71,89,10.42,MH,1704815050
222,selfoss,63.9331,-20.9971,6.69,79,100,10.8,IS,1704815050
223,changji,44.0167,87.3167,-4.56,68,11,1.0,CN,1704815051
224,laurel,39.0993,-76.8483,6.98,93,100,4.63,US,1704815051
225,alofi,-19.0595,-169.9187,22.94,100,79,0.51,NU,1704815051
226,kourou,5.1552,-52.6478,29.03,78,93,3.88,GF,1704815052
227,watsa,3.0372,29.5355,25.58,38,81,0.79,CD,1704815052
228,klyuchi,52.2667,79.1667,-21.57,97,56,2.19,RU,1704815052
229,mount pearl,47.5166,-52.7813,-3.81,78,98,4.92,CA,1704815053
230,latakia,35.5148,35.7768,17.1,72,2,5.53,SY,1704815053
231,la crosse,43.8014,-91.2396,0.2,93,100,6.17,US,1704815053
232,kayenta,36.7278,-110.2546,-5.01,43,0,1.88,US,1704815053
233,mount gambier,-37.8333,140.7667,14.93,92,59,1.34,AU,1704815054
234,nagqu,31.5,92.0,-8.79,42,0,1.11,CN,1704815054
235,yelizovo,53.1873,158.3805,-16.78,54,75,5.0,RU,1704815054
236,kedougou,12.5579,-12.1743,38.32,17,0,1.03,SN,1704815055
237,nova sintra,14.8667,-24.7167,20.79,70,100,7.41,CV,1704815055
